CowSelecs,GeneralValueReg,ebv_milkReg,evb_fatReg,ebv_proteinReg,ebv_insemenationReg,ebv_serviceReg,ebv_somaticNucReg,ebv_productiveLongLivityReg,ebv_mastitReg,ebv_proteinPercentsReg,ebv_fatPercentsReg,ebv_milkReg_rel,ebv_fatReg_rel,ebv_proteinReg_rel,ebv_insemenationReg_rel,ebv_serviceReg_rel,ebv_somaticNucReg_rel,ebv_productiveLongLivityReg_rel,ebv_mastitReg_rel,ebv_proteinPercentsReg_rel,ebv_fatPercentsReg_rel,GeneralValueHoz,ebv_milkHoz,evb_fatHoz,ebv_proteinHoz,ebv_insemenationHoz,ebv_serviceHoz,GeneralValueReg_rel
8352300205554,264.544813229987,2109.0,58.146,64.999,0.41023,-4.3367,56.11079771,-0.63017866,0.58941696,-0.010896,-0.22789,70.101,67.792,69.716,42.839,35.771,54.010000000000005,72.78999999999999,35.17,44.89,66.671,,,,,,,
8352019008359,264.482029210714,1652.3,60.426,56.195,0.18934,-9.8278,,,,0.0082305,0.050317,67.824,65.19800000000001,67.387,36.219,27.285,,,,38.658,63.941,,,,,,,
8353715012136,264.438414498207,1920.4,77.72,54.979,-0.027602,-0.20185,,,,-0.009663,0.061576,69.247,66.823,68.84599999999999,41.835,35.444,,,,43.748,65.659,,,,,,,
8352300205560,264.437330928281,2171.4,56.144,69.83,0.23687,-1.4212,53.73749767,-0.61984022,0.59118487,0.0056122,-0.21335,35.768,34.997,35.653,31.414,26.047,53.98,71.82,35.14,32.408,46.499,,,,,,,
8352300208471,264.293563148686,2229.4,67.596,69.273,0.35367,4.9246,28.48293732,-0.51098299,0.56867623,-0.015229,-0.14792,68.587,65.873,68.13900000000001,32.300000000000004,21.832,53.64,67.32000000000001,34.57,35.323,64.533,,,,,,,
8352300208806,264.058024911745,2157.1,55.877,66.846,0.23645,-3.859,31.474454,-0.27529972,0.57364704,-0.010309,-0.25303,30.505,29.808,30.397,19.693,15.429,53.65,70.12,34.64,20.77,29.493,,,,,,,
6353169247116,263.924527753945,2098.9,53.938,67.057,0.26509,-4.8347,31.52780688,-0.41469926,0.56890136,0.0011079,-0.27162,34.657,34.089000000000006,34.567,27.957,25.98,53.620000000000005,68.69,34.59,28.472,33.83,,,,,,,
4352300201416,263.445124862107,1878.4,55.395,57.17,0.05114,-11.557,14.59105452,-0.95100918,0.55922583,-0.011411,-0.14201,74.664,72.282,74.234,45.938,37.453,54.59,71.87,35.38,48.188,71.018,,,,,,,
4352300203792,263.43493696258,2012.6,55.619,58.267,-0.034788,-10.445,100.93048188,-1.10466255,0.56174474,-0.025143,-0.17843,69.36,66.93599999999999,68.959,40.728,33.317,54.02,71.15,35.53,42.888,65.766,,,,,,,
8352300208098,263.347961601649,1937.4,55.22,64.334,0.19519,-5.9934,29.93175801,-0.55415271,0.56109627,0.016779,-0.13384,73.81299999999999,71.532,73.422,43.42,33.024,53.78,68.8,34.8,46.128,70.379,,,,,,,
4352300201268,263.257101095448,1884.9,55.668,58.734,-0.0854,-9.9251,28.33568806,-0.85017841,0.57184961,-0.0089389,-0.14118,64.113,61.768,63.735,39.698,34.163,54.690000000000005,73.0,35.55,41.316,60.69799999999999,,,,,,,
8353715114881,263.016274966598,2115.8,71.143,68.43,0.020528,7.1547,26.17299476,-0.84081761,0.56414557,0.005337,-0.030241,56.003,53.601,55.637,31.819,26.518000000000004,54.790000000000006,68.92,34.17,33.411,52.59700000000001,,,,,,,
8352300208756,262.725110869661,2118.5,61.454,68.564,0.21395,1.3547,31.80032417,-0.38771622,0.56491671,0.010734,-0.16099,68.661,66.05799999999999,68.231,34.71,24.304,53.63,68.24,34.62,37.569,64.794,,,,,,,
4353169205406,262.650720386415,1851.9,53.287,65.485,0.15671,-5.943,31.84626013,-0.39864211,0.56909693,0.02904,-0.1377,67.673,64.50399999999999,67.12700000000001,28.2,17.592,53.63,66.95,34.56,31.237,62.88399999999999,,,,,,,
